instrument,date,R
NZDUSD,2019-07-26,2.0
AUDUSD,2019-08-23,-1.0
USDJPY,2019-08-26,-0.987
GBPUSD,2019-09-05,2.0
EURUSD,2019-09-17,-1.0
AUDUSD,2019-09-20,-1.0
USDCHF,2019-10-01,-0.4054
USDJPY,2019-10-03,-0.9903
USDJPY,2019-11-01,-0.9948
GBPUSD,2019-11-05,-1.0
EURUSD,2019-11-06,0.0
AUDUSD,2019-11-11,0.0
NZDUSD,2019-11-14,2.0
USDJPY,2019-12-13,-1.008
EURUSD,2019-12-19,2.0
AUDUSD,2019-12-20,0.0
NZDUSD,2020-01-08,2.0
USDJPY,2020-01-10,0.0
EURGBP,2020-01-14,-1.0
GBPUSD,2020-01-23,-1.0
USDCHF,2020-02-03,-1.0
EURGBP,2020-02-04,-1.0
GBPUSD,2020-02-26,-1.0
EURUSD,2020-02-28,2.0
USDCHF,2020-02-28,2.0
USDJPY,2020-03-16,0.1203
USDCHF,2020-03-30,-0.1491
EURUSD,2020-03-31,-0.2722
GBPUSD,2020-04-22,-1.0
NZDUSD,2020-04-22,-1.0
EURGBP,2020-06-02,-1.0
USDJPY,2020-06-11,0.0
GBPUSD,2020-06-19,-1.0
USDCHF,2020-06-19,-1.0
AUDUSD,2020-06-23,2.0
NZDUSD,2020-06-23,2.0
EURUSD,2020-07-07,2.0
EURGBP,2020-07-29,2.0
EURUSD,2020-08-10,-1.0
USDJPY,2020-08-19,-0.9912
USDCHF,2020-08-20,-1.0
EURUSD,2020-08-31,-1.0
USDJPY,2020-09-03,-1.013
AUDUSD,2020-09-10,-1.0
NZDUSD,2020-09-10,2.0
EURUSD,2020-10-06,2.0
USDCHF,2020-10-06,0.0
AUDUSD,2020-10-07,-1.0
USDJPY,2020-10-13,2.0213
USDJPY,2020-11-10,-1.012
EURGBP,2020-11-30,-0.0911
USDCHF,2020-12-30,0.0
USDJPY,2021-01-08,0.0
EURUSD,2021-01-13,-1.0
AUDUSD,2021-01-19,0.0
NZDUSD,2021-01-28,-1.0
USDJPY,2021-01-28,1.9741
USDCHF,2021-02-18,2.0
EURUSD,2021-02-19,-1.0
AUDUSD,2021-03-04,-0.0055
EURGBP,2021-03-05,0.0
EURUSD,2021-03-18,-1.0
